Experiment,Status,LR,Batch Size,LoRA Rank (r),LoRA Alpha,Val Acc,Val F1,Test Acc,Test F1
002_01_FullSearch_Raw_LR-4.0E-05_BS-16_WD-0.01_DO-0.1_Sched-lin,Completed,4e-05,16,-,-,0.9467,0.9479,0.9465,0.9477
001_01_FullSearch_Raw_LR-2.0E-05_BS-16_WD-0.01_DO-0.1_Sched-lin,Completed,2e-05,16,-,-,0.9447,0.9452,0.9446,0.9451
003_01_FullSearch_Raw_LR-2.0E-05_BS-32_WD-0.01_DO-0.1_Sched-lin,Completed,2e-05,32,-,-,0.9443,0.9453,0.9425,0.9435
012_02_LoRASearch_Raw_LR-1.0E-04_BS-32_WD-0.01_DO-0.1_Sched-lin_R-16_A-32,Completed,0.0001,32,16,32,0.9398,0.9414,0.9408,0.9424
004_01_FullSearch_Raw_LR-4.0E-05_BS-32_WD-0.01_DO-0.1_Sched-lin,Completed,4e-05,32,-,-,0.9427,0.9434,0.9407,0.9414
008_02_LoRASearch_Raw_LR-1.0E-04_BS-16_WD-0.01_DO-0.1_Sched-lin_R-16_A-32,Completed,0.0001,16,16,32,0.938,0.9396,0.9376,0.9391
007_02_LoRASearch_Raw_LR-1.0E-04_BS-16_WD-0.01_DO-0.1_Sched-lin_R-8_A-16,Completed,0.0001,16,8,16,0.9366,0.9383,0.9367,0.9382
011_02_LoRASearch_Raw_LR-1.0E-04_BS-32_WD-0.01_DO-0.1_Sched-lin_R-8_A-16,Completed,0.0001,32,8,16,0.936,0.9376,0.9365,0.9379
006_02_LoRASearch_Raw_LR-5.0E-05_BS-16_WD-0.01_DO-0.1_Sched-lin_R-16_A-32,Completed,5e-05,16,16,32,0.9369,0.9383,0.935,0.9361
010_02_LoRASearch_Raw_LR-5.0E-05_BS-32_WD-0.01_DO-0.1_Sched-lin_R-16_A-32,Completed,5e-05,32,16,32,0.9349,0.9367,0.934,0.9356
009_02_LoRASearch_Raw_LR-5.0E-05_BS-32_WD-0.01_DO-0.1_Sched-lin_R-8_A-16,Completed,5e-05,32,8,16,0.9339,0.9355,0.9324,0.9339
005_02_LoRASearch_Raw_LR-5.0E-05_BS-16_WD-0.01_DO-0.1_Sched-lin_R-8_A-16,Completed,5e-05,16,8,16,0.9347,0.9363,0.9322,0.9337
